Account,Region,SecurityIDType,SecurityID,Description,Quantity,RequestID,QuantityReceived,Rate,LocateID
CIL,US,SEDOL,BN7DSG4,FBGX US Equity,4000,,0,N/A,N/A
CIL,US,SEDOL,B3MC7D6,FBHS US Equity,19000,,19000,GC,587347737009241708-CPB10920
CIL,US,SEDOL,B0M02F6,FBIZ US Equity,42000,,16665,GC,5149912595723602710-CPB10920
CIL,US,SEDOL,BYY5Z69,FBK US Equity,27000,,27000,GC,8267438244108810001-CPB10920
CIL,US,SEDOL,BYXR306,FBM US Equity,63000,,63000,GC,4762744533794207702-CPB10920
CIL,US,SEDOL,2184300,FBMS US Equity,31000,,31000,GC,4282718199949078745-CPB10920
CIL,US,SEDOL,2351494,FBNC US Equity,28000,,28000,GC,7723476877869169643-CPB10920
CIL,US,SEDOL,BR385X7,FBND US Equity,20000,,20000,18.88,7240620550672986436-CPB10920
CIL,US,SEDOL,2296926,FBP US Equity,102000,,102000,GC,2051421669621347499-CPB10920
CIL,US,SEDOL,B17NS60,FBT US Equity,8000,,0,N/A,N/A
CIL,US,SEDOL,B3QMST5,FBZ US Equity,64000,,0,N/A,N/A
CIL,US,SEDOL,2352839,FC US Equity,28000,,28000,GC,6806386165786427537-CPB10920
CIL,US,SEDOL,BRJ2W98,FCAU US Equity,77000,,77000,GC,2986928409836040640-CPB10920
CIL,US,SEDOL,2648710,FCBC US Equity,32000,,32000,GC,9187197700650610773-CPB10920
CIL,US,SEDOL,BF113F2,FCBP US Equity,47000,,7886,GC,1861149686231810338-CPB10920
CIL,US,SEDOL,BZ03434,FCEF US Equity,46000,,0,N/A,N/A
CIL,US,SEDOL,2351546,FCF US Equity,76000,,76000,GC,8680213664132216780-CPB10920
CIL,US,SEDOL,BZCG9B4,FCFS US Equity,11000,,11000,GC,5344145296198906812-CPB10920
CIL,US,SEDOL,2351449,FCN US Equity,10000,,10000,GC,2131808682258774794-CPB10920
CIL,US,SEDOL,2355582,FCNCA US Equity,3000,,3000,GC,8105978100473248453-CPB10920
CIL,US,SEDOL,B016VS1,FCNCB US Equity,3000,,0,N/A,N/A
CIL,US,SEDOL,BFWLBN5,FCOM US Equity,31000,,0,N/A,N/A
